"townname","kmt","ddp","pfp"
"屏東縣里港鄉","18.9","72.1","8"
"屏東縣高樹鄉","17.6","74.9","6.2"
"屏東縣三地門鄉","59.6","21.4","17.8"
"屏東縣霧臺鄉","58.4","23.9","16.9"
"屏東縣九如鄉","17.1","75","7.1"
"屏東縣鹽埔鄉","26.5","63.4","8.9"
"屏東縣長治鄉","25.6","65.4","7.9"
"屏東縣內埔鄉","23.5","67.3","8.2"
"屏東縣瑪家鄉","60.3","18.9","20"
"屏東縣泰武鄉","54.4","18","26.8"
"屏東縣竹田鄉","22.9","69.6","6.6"
"屏東縣萬巒鄉","20.8","71.9","6.2"
"屏東縣潮州鎮","26.3","63.5","9.3"
"屏東縣屏東市","31.6","56.9","10.3"
"屏東縣麟洛鄉","22.3","68.3","8.5"
"屏東縣萬丹鄉","23.3","67.2","7.9"
"屏東縣新園鄉","17.6","73.2","7.8"
"屏東縣崁頂鄉","20","71.6","7.2"
"屏東縣南州鄉","23","67.4","8.2"
"屏東縣新埤鄉","24.3","65.4","9.1"
"屏東縣來義鄉","63.4","17.5","18.1"
"屏東縣東港鎮","20.7","69","9.2"
"屏東縣林邊鄉","22.7","69.4","6.4"
"屏東縣佳冬鄉","20.6","70.8","6.9"
"屏東縣枋寮鄉","24.6","66","8"
"屏東縣春日鄉","56.9","13.9","27.9"
"屏東縣枋山鄉","20.5","73.5","4.8"
"屏東縣獅子鄉","54.2","19.1","25.5"
"屏東縣牡丹鄉","49.4","18.5","31"
"屏東縣車城鄉","22.9","68","7.3"
"屏東縣滿州鄉","26.8","59.2","11.9"
"屏東縣恆春鎮","27.3","60.2","11"
"屏東縣琉球鄉","32.4","51.4","14.3"
"南投縣草屯鎮","30.1","53","15.6"
"南投縣國姓鄉","32.3","49.1","17.2"
"南投縣埔里鎮","33.5","49.4","15.8"
"南投縣仁愛鄉","50.8","22.4","26"
"南投縣中寮鄉","28.4","56.2","14.1"
"南投縣魚池鄉","29.5","55.9","13.1"
"南投縣南投市","32.8","49","16.8"
"南投縣名間鄉","24.8","61.6","12.1"
"南投縣集集鎮","30.4","52.2","15.4"
"南投縣竹山鎮","28.9","57.2","12.5"
"南投縣鹿谷鄉","30.9","52.7","15"
"南投縣水里鄉","31.9","50.4","16.2"
"南投縣信義鄉","43.8","38.1","16.2"
"宜蘭縣宜蘭市","29.1","56.6","13"
"宜蘭縣羅東鎮","25.4","61.7","11.6"
"宜蘭縣蘇澳鎮","23.8","62.5","12.4"
"宜蘭縣頭城鎮","31.3","52","15.2"
"宜蘭縣礁溪鄉","25","62","11.5"
"宜蘭縣壯圍鄉","22.1","66.1","10.3"
"宜蘭縣員山鄉","21","66.6","11"
"宜蘭縣冬山鄉","19.8","68.5","10.3"
"宜蘭縣五結鄉","20.7","67","11.1"
"宜蘭縣三星鄉","22.3","65.1","10.9"
"宜蘭縣大同鄉","40.1","21.7","37.1"
"宜蘭縣南澳鄉","50.2","15","33.7"
"雲林縣麥寮鄉","29.1","54.4","14.9"
"雲林縣臺西鄉","31.6","52","14.6"
"雲林縣東勢鄉","28.7","57.9","11.8"
"雲林縣褒忠鄉","26.6","60.3","11.3"
"雲林縣土庫鎮","22.9","63.2","12.1"
"雲林縣虎尾鎮","28.9","56.7","13.1"
"雲林縣四湖鄉","24.9","61.9","11.2"
