"id","kmt","ddp","pfp"
"10002100-005",31.7,52.6,12.6
"10002100-017",17.6,72.8,7.6
"10002100-015",16.8,72.8,8.6
"10002100-010",22,64.3,12
"10002100-002",27.9,59.2,11.5
"10002100-003",21.7,63.6,13.3
"10002100-008",27.4,59.5,12.3
"10002100-011",17.1,68.8,12.1
"10002100-018",17,73.1,8.4
"10002100-016",18.4,71.4,9.4
"10002100-009",20.6,68.7,9.4
"10002100-001",20.3,56.6,20.3
"10002100-013",31.1,53.7,13.4
"10002100-007",24.2,62.7,12
"10002100-014",22.3,64.5,10.5
"10002100-012",25.7,60.6,11.3
"10002100-006",32.4,54.1,11.8
"10002100-004",22.7,65.1,10.6
"10002110-007",32.6,51.2,16.3
"10002110-008",51.3,10.8,38
"10002110-003",34.4,32.5,32
"10002110-009",28.1,34.8,36.3
"10002110-010",50.9,19.3,28.1
"10002110-005",37.4,24.7,35.3
"10002110-002",44.7,12.9,41
"10002110-001",44.1,12.5,42
"10002110-004",36.4,41.6,20.8
"10002110-006",33.9,16.3,49
"10002090-002",26.9,60.8,11.9
"10002090-001",17.2,72.9,8.8
"10002090-004",23.5,61.7,13.4
"10002090-009",20.3,65.8,12.7
"10002090-005",20.9,64.4,13.3
"10002090-008",21.8,64.4,12.9
"10002090-006",26.6,61.7,9.7
"10002090-014",16.7,71.3,10.4
"10002090-013",19.3,67.5,11.8
"10002090-011",17.8,71.6,9.6
"10002090-010",20.1,69.1,9.8
"10002090-015",18.6,70.9,9.3
"10002090-007",20.9,65.5,12.2
"10002090-012",19.3,68,11.3
"10002090-003",20.6,67.8,10.3
"10002080-012",14.3,75.2,9.2
"10002080-004",17.7,72.3,8.1
"10002080-013",17.6,73.1,8.4
"10002080-024",14.2,75.3,9
"10002080-005",17.8,72.1,8.3
"10002080-014",15.1,74.9,8.2
"10002080-011",19.8,71.2,7.7
"10002080-009",19.6,67.1,11.6
"10002080-016",20.5,68.3,10.4
"10002080-010",15.6,78.2,4.8
"10002080-006",19.6,67.2,11.7
"10002080-001",17.5,69.3,10.9
"10002080-008",20.9,65.9,11.7
"10002080-023",21.6,68.3,8.7
"10002080-002",16.4,70.7,11.4
"10002080-007",20.4,67.4,10.6
"10002080-020",25.5,62.7,10.3
"10002080-018",21.6,65.9,10.9
"10002080-019",17.6,71.2,9.7
"10002080-015",18.7,68.6,10.9
"10002080-017",22.9,64.9,10.9
"10002080-003",18.1,69.7,11.1
"10002080-022",21.4,65.8,11.1
"10002080-021",21,67.7,9.8
"10002060-013",22.2,65.6,10.8
"10002060-010",23.3,64.3,10.8
"10002060-009",20.7,67.8,9.5
"10002060-014",21.4,65,12.7
"10002060-007",19.1,72.3,6.9
"10002060-001",23.6,61.9,13.6
"10002060-008",21.8,67.8,8.8
"10002060-004",22,68.4,8.3
"10002060-011",19.7,65.3,13.3
"10002060-002",24.9,63.4,9.7
"10002060-005",23.8,67.2,7.9
"10002060-012",22.7,66.9,8.7
"10002060-003",21.2,67.6,10.4
"10002060-006",20.7,69,9
"10002010-016",19,67.5,12.5
"10002010-043",32.4,51.2,15
"10002010-045",28.8,56.7,12.6
"10002010-021",26.6,59,13.5
"10002010-031",26.4,61.3,11.1
"10002010-046",29.1,55,14.5
"10002010-039",32,54.5,11.7
"10002010-028",20.3,65.9,12.8
"10002010-026",18.8,64.1,16
"10002010-036",38.2,50,10.7
"10002010-002",36.8,48.1,13.5
"10002010-041",28.7,56.6,13.3
"10002010-032",22.1,64.4,12.1
"10002010-023",23.5,59.9,15
"10002010-015",29.6,54.2,15
"10002010-014",27.6,58.4,12.4
"10002010-019",23.8,64,11.1
"10002010-034",27.8,59.3,12.1
"10002010-011",45.6,42.7,10.5
"10002010-009",25.8,61.2,12.2
